C:\Users\sould\Documents\YW Reborn\yoshi_sa1.smc
headered
ROM is 0x300000 bytes long

PC offset		LoROM offset		Size

0x085083		0x10CE83		0x001A
0x0850B0		0x10CEB0		0x000A
0x085784		0x10D584		0x0011
0x086085		0x10DE85		0x09F9
0x086B39		0x10E939		0x0005
0x0871E3		0x10EFE3		0x000C
0x0877A2		0x10F5A2		0x000F
0x087C5A		0x10FA5A		0x0015
0x087F71		0x10FD71		0x0016
0x0881E4		0x10FFE4		0x0014
0x088517		0x118317		0x0031
0x0895C5		0x1193C5		0x000C
0x089DBD		0x119BBD		0x001C
0x08D652		0x11D452		0x014C
0x08D7F7		0x11D5F7		0x0045
0x08DC33		0x11DA33		0x001A
0x08F00C		0x11EE0C		0x005B
0x0901E2		0x11FFE2		0x0016
0x090325		0x128125		0x000E
0x091A83		0x129883		0x0027
0x096366		0x12E166		0x00FD
0x097162		0x12EF62		0x0588
0x097732		0x12F532		0x0AC6
0x09FC08		0x13FA08		0x05F0
0x0A7DC0		0x14FBC0		0x0438
0x0AFB94		0x15F994		0x066C
0x0B0200		0x168000		0x1BF2
0x0B4B16		0x16C916		0x088C
0x0B58BA		0x16D6BA		0x2548
0x0B7EDA		0x16FCDA		0x0326
0x0B8200		0x178000		0x0DEE
0x0B9F43		0x179D43		0x497B
0x0BED86		0x17EB86		0x1274
0x0C0172		0x17FF72		0x008E
0x0C0200		0x188000		0x2D4D
0x0C3166		0x18AF66		0x020A
0x0C35C7		0x18B3C7		0x4C39
0x0C8200		0x198000		0x8000
0x0D0200		0x1A8000		0x7FF8
0x0E0200		0x1C8000		0x8000
0x0E8200		0x1D8000		0x5585
0x0EDB5E		0x1DD95E		0x07B2
0x0EE6D4		0x1DE4D4		0x006C
0x0EE9FC		0x1DE7FC		0x17FC
0x0FB598		0x1FB398		0x4C68
0x100200		0x208000		0x7FF8
0x110200		0x228000		0x7FF8
0x120200		0x248000		0x8000
0x128200		0x258000		0x197F
0x12A2C9		0x25A0C9		0x5F37
0x130200		0x268000		0x64C5
0x136979		0x26E779		0x1887
0x138200		0x278000		0x8000
0x140200		0x288000		0x0B06
0x140E61		0x288C61		0x7397
0x150200		0x2A8000		0x7FF8
0x160200		0x2C8000		0x8000
0x168200		0x2D8000		0x8000
0x170200		0x2E8000		0x8000
0x178200		0x2F8000		0x8000
0x180200		0x308000		0x8000
0x188200		0x318000		0x41CE
0x18C9BA		0x31C7BA		0x3846
0x190200		0x328000		0x8000
0x198200		0x338000		0x8000
0x1A0200		0x348000		0x8000
0x1A8200		0x358000		0x8000
0x1B0200		0x368000		0x8000
0x1B8200		0x378000		0x8000
0x1C0200		0x388000		0x8000
0x1C8200		0x398000		0x8000
0x1D0200		0x3A8000		0x8000
0x1D8200		0x3B8000		0x8000
0x1E0200		0x3C8000		0x8000
0x1E8200		0x3D8000		0x8000
0x1F0200		0x3E8000		0x8000
0x1F8200		0x3F8000		0x7FC0
0x2001CD		0x3FFFCD		0x0033
0x2086EB		0x4184EB		0x0008
0x20872C		0x41852C		0x0008
0x20D3B3		0x41D1B3		0x0475
0x20D929		0x41D729		0x021E
0x20DD96		0x41DB96		0x0008
0x2165A2		0x42E3A2		0x0344
0x216A11		0x42E811		0x0008
0x216A62		0x42E862		0x0008
0x216AB3		0x42E8B3		0x0030
0x217098		0x42EE98		0x0011
0x2177C4		0x42F5C4		0x0008
0x217DE6		0x42FBE6		0x0008
0x218178		0x42FF78		0x0008
0x2181C9		0x42FFC9		0x0037
0x218C96		0x438A96		0x0008
0x218F39		0x438D39		0x0008
0x219075		0x438E75		0x0008
0x2190C6		0x438EC6		0x0019
0x219787		0x439587		0x0008
0x219F87		0x439D87		0x0029
0x21A6AC		0x43A4AC		0x0008
0x21A925		0x43A725		0x0008
0x21B5D9		0x43B3D9		0x000B
0x21B675		0x43B475		0x0029
0x21FE71		0x43FC71		0x0008
0x220053		0x43FE53		0x0008
0x22018B		0x43FF8B		0x0008
0x2201C1		0x43FFC1		0x003F
0x220D54		0x448B54		0x0008
0x221702		0x449502		0x0008
0x2226F6		0x44A4F6		0x0008
0x2235DD		0x44B3DD		0x0008
0x22373A		0x44B53A		0x0008
0x22384E		0x44B64E		0x0008
0x224078		0x44BE78		0x0008
0x2243FF		0x44C1FF		0x0008
0x224786		0x44C586		0x0008
0x224A57		0x44C857		0x0008
0x224B78		0x44C978		0x0008
0x224C95		0x44CA95		0x0008
0x224EE1		0x44CCE1		0x0008
0x22505C		0x44CE5C		0x0008
0x2261AC		0x44DFAC		0x0008
0x226301		0x44E101		0x0008
0x2266A5		0x44E4A5		0x0008
0x2267BC		0x44E5BC		0x0008
0x226912		0x44E712		0x0008
0x226B5B		0x44E95B		0x0008
0x226FC0		0x44EDC0		0x0008
0x227638		0x44F438		0x0008
0x227CD4		0x44FAD4		0x0008
0x227FBF		0x44FDBF		0x0008
0x228085		0x44FE85		0x0008
0x22A8EB		0x45A6EB		0x0100
0x22AC74		0x45AA74		0x0008
0x22ADA6		0x45ABA6		0x003A
0x22E6AC		0x45E4AC		0x0008
0x22F303		0x45F103		0x0008
0x22FDA1		0x45FBA1		0x0008
0x230017		0x45FE17		0x0008
0x2301AC		0x45FFAC		0x0054
0x2313A7		0x4691A7		0x0008
0x231C71		0x469A71		0x0008
0x2321ED		0x469FED		0x0008
0x232B47		0x46A947		0x0008
0x233CC9		0x46BAC9		0x0008
0x23407A		0x46BE7A		0x0008
0x23482D		0x46C62D		0x0008
0x234CDA		0x46CADA		0x0008
0x235055		0x46CE55		0x0008
0x2355FE		0x46D3FE		0x0008
0x235A48		0x46D848		0x0008
0x235C88		0x46DA88		0x0008
0x23628B		0x46E08B		0x0008
0x236BEE		0x46E9EE		0x0008
0x2374C1		0x46F2C1		0x0008
0x238121		0x46FF21		0x0008
0x2381BA		0x46FFBA		0x0046
0x23A178		0x479F78		0x0008
0x23A691		0x47A491		0x0008
0x23A9C4		0x47A7C4		0x0008
0x23AF52		0x47AD52		0x0008
0x23B5F7		0x47B3F7		0x0008
0x23C578		0x47C378		0x0008
0x23C8CF		0x47C6CF		0x0008
0x23D2EF		0x47D0EF		0x0008
0x23D994		0x47D794		0x0008
0x23DB44		0x47D944		0x0008
0x23DF7C		0x47DD7C		0x0008
0x23E04B		0x47DE4B		0x0008
0x23E501		0x47E301		0x0008
0x23EEFD		0x47ECFD		0x0008
0x23FECB		0x47FCCB		0x0335
0x240F42		0x488D42		0x0008
0x242274		0x48A074		0x0008
0x244930		0x48C730		0x0639
0x2478F1		0x48F6F1		0x090F
0x248200		0x498000		0x2B63
0x24B077		0x49AE77		0x5181
0x25E450		0x4BE250		0x1DB0
0x260200		0x4C8000		0x0428
0x260640		0x4C8440		0x7BC0
0x268200		0x4D8000		0x8000
0x270200		0x4E8000		0x8000
0x278200		0x4F8000		0x8000
0x280200		0x508000		0x8000
0x288200		0x518000		0x8000
0x290200		0x528000		0x046A
0x2909D6		0x5287D6		0x782A
0x298200		0x538000		0x8000
0x2A0200		0x548000		0x8000
0x2A8200		0x558000		0x8000
0x2B0200		0x568000		0x8000
0x2B8200		0x578000		0x8000
0x2C0200		0x588000		0x3ADC
0x2C3EAC		0x58BCAC		0x4354
0x2C8200		0x598000		0x37D1
0x2CC864		0x59C664		0x399C
0x2D0200		0x5A8000		0x8000
0x2D8200		0x5B8000		0x8000
0x2E0200		0x5C8000		0x749C
0x2E7C02		0x5CFA02		0x05FE
0x2E8200		0x5D8000		0x028D
0x2E87C1		0x5D85C1		0x56A5
0x2EE576		0x5DE376		0x1A19
0x2F01E1		0x5DFFE1		0x001F
0x2F0200		0x5E8000		0x3D63
0x2F43F5		0x5EC1F5		0x3E0B

A total of 0x1BA476 bytes of free space were found
IMPORTANT: The "LoROM Offset" is what is entered in xkas as free space
